numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	lexicalDiversity	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	score	Selected
4006.0	3271.0	766.0	0.5425055928411633	0.12639821029082773	1.0	3.610738255033557	48.0	0.10416666666666667	0.0	19.0	15.958333333333334	310.0	0.45302013422818793	10.195343777197564	76.32789218885989	6.577614229765015	7.64375134899913	6.0	8.901047299222334	30.710291557876413	52.00609361562715	1.2588235294117647	2.470967741935484	0.4046997389033943	11.200755289713825	646.4628744353317	122.9807956575512	0.24934725848563968	0.1227154046997389	0.7777777777777778	5.784313725490196	133.0	36.0	5.0	65.0	0.0	1.0	98.0	85.0	0.0	6.0	0.0	13.0	159.0	16.0	3.0	0.0	0.0	3.0	50.0	16.0	48.0	1.0	0.0	6.0	1.0	13.0	0.0	38.0	17.0	20.0	12.0	27.0	19.0	7.0	0.0	5.0	7.0	0.0	1.0	36.0	0.12341056470668055	-0.3574660633484168	0.7150244393080063	41.0	No
3006.0	2471.0	554.0	0.5349854227405247	0.119533527696793	1.0	3.553935860058309	40.0	0.075	0.05	11.0	13.85	248.0	0.3848396501457726	9.077906137184115	82.52237635379062	5.18983935018051	8.456221732851986	6.0	7.6454224807358475	28.6514440433213	52.74689415445572	1.4426229508196722	2.2338709677419355	0.44765342960288806	10.536510358819767	550.3472222222222	124.44180175078452	0.27978339350180503	0.12274368231046931	0.8333333333333334	4.192982456140351	93.0	19.0	6.0	44.0	2.0	0.0	60.0	65.0	2.0	5.0	0.0	10.0	148.0	14.0	18.0	0.0	1.0	6.0	30.0	5.0	46.0	3.0	1.0	5.0	0.0	7.0	0.0	21.0	15.0	12.0	5.0	30.0	10.0	1.0	0.0	8.0	11.0	0.0	5.0	33.0	0.1445514337730818	0.06334841628959254	0.8122538443788918	40.0	No
2252.0	1809.0	443.0	0.5271629778672032	0.096579476861167	4.0	3.567404426559356	18.0	0.0	0.2222222222222222	13.0	24.61111111111111	229.0	0.44064386317907445	11.469726611487335	77.58474479558565	8.551899924755457	7.779965061449712	10.0	7.3871296695380915	35.446325558063705	59.26755353163413	1.408450704225352	1.9344978165938864	0.5169300225733634	10.88011834353378	435.9629190210943	137.46111368958458	0.3363431151241535	0.14446952595936793	0.7222222222222222	6.32	79.0	16.0	3.0	54.0	1.0	0.0	52.0	33.0	4.0	0.0	0.0	6.0	113.0	3.0	4.0	0.0	1.0	0.0	25.0	19.0	19.0	0.0	0.0	5.0	1.0	10.0	0.0	21.0	18.0	13.0	5.0	15.0	7.0	2.0	0.0	3.0	21.0	0.0	6.0	30.0	0.0689212473100842	0.4162895927601813	0.41150557519388276	31.0	No
4764.0	3948.0	839.0	0.5331991951710262	0.15694164989939638	1.0	3.9014084507042255	36.0	0.08333333333333333	0.2222222222222222	23.0	23.305555555555557	376.0	0.40040241448692154	13.994451066083963	55.82610664150444	11.262456297179185	9.15870108594888	12.0	11.958738252310603	41.89911932194411	59.77121191136907	1.3355048859934853	2.231382978723404	0.44815256257449343	12.980961579482837	631.9744002851012	180.87940750198862	0.2967818831942789	0.1632896305125149	0.8333333333333334	4.313253012048193	167.0	8.0	1.0	93.0	1.0	1.0	93.0	90.0	5.0	2.0	0.0	9.0	205.0	8.0	42.0	0.0	0.0	1.0	56.0	22.0	55.0	3.0	1.0	12.0	0.0	22.0	0.0	33.0	58.0	27.0	13.0	20.0	16.0	1.0	0.0	9.0	26.0	0.0	10.0	36.0	0.10719568755488651	3.3393665158371038	0.8171077491608031	44.0	No
3808.0	2994.0	817.0	0.5213270142180095	0.05924170616113744	4.0	3.504739336492891	17.0	0.0	0.5882352941176471	56.0	48.05882352941177	242.0	0.5201421800947867	20.055842753257977	59.476101951184404	16.90275757793938	7.489054856361149	20.0	9.007467420416297	54.178774569803444	40.216658783501664	0.6925064599483204	3.37603305785124	0.2962056303549572	8.466508285349967	1698.8560129934326	52.60818051194722	0.1481028151774786	0.05752753977968176	0.7777777777777778	4.865671641791045	174.0	26.0	6.0	48.0	1.0	0.0	64.0	60.0	2.0	3.0	0.0	22.0	158.0	9.0	1.0	0.0	0.0	0.0	71.0	68.0	72.0	1.0	0.0	3.0	0.0	15.0	1.0	56.0	40.0	11.0	10.0	34.0	23.0	7.0	0.0	6.0	9.0	6.0	0.0	40.0	0.09520943032342793	-0.36425339366515885	0.4267871568229826	31.0	No
2963.0	2403.0	570.0	0.5007923930269413	0.10301109350237718	4.0	3.7543581616481774	31.0	0.06451612903225806	0.12903225806451613	11.0	18.387096774193548	202.0	0.45641838351822506	10.653084323712507	79.82472835314094	6.693248443689871	6.709236842105263	7.0	8.933256019334266	29.790605546123373	41.90935813328801	0.8393574297188755	2.8217821782178216	0.3543859649122807	8.460848947492249	894.9396084964598	61.37329328756674	0.15964912280701754	0.06491228070175438	0.6944444444444444	4.909090909090909	125.0	18.0	2.0	35.0	0.0	0.0	59.0	47.0	2.0	3.0	0.0	9.0	109.0	8.0	6.0	0.0	0.0	0.0	54.0	30.0	39.0	1.0	0.0	2.0	0.0	15.0	0.0	42.0	19.0	11.0	1.0	39.0	13.0	2.0	0.0	14.0	12.0	0.0	12.0	35.0	0.11324625622638781	-4.608597285067873	0.33108518438219914	36.0	No
4482.0	3708.0	819.0	0.5369261477045908	0.11277445109780439	1.0	3.6526946107784433	54.0	0.2222222222222222	0.05555555555555555	3.0	15.166666666666666	363.0	0.3722554890219561	9.876190476190477	82.04962454212455	5.58287545787546	9.266507814407815	7.0	8.680891452615393	28.963980463980462	58.59229220010802	1.310580204778157	2.256198347107438	0.4432234432234432	12.684246524335212	452.1067199129877	176.76742336610755	0.28327228327228327	0.17826617826617827	0.8055555555555556	4.333333333333333	158.0	32.0	4.0	62.0	3.0	1.0	90.0	93.0	2.0	6.0	0.0	4.0	195.0	10.0	40.0	0.0	1.0	7.0	62.0	14.0	53.0	0.0	1.0	9.0	0.0	15.0	0.0	25.0	44.0	25.0	9.0	32.0	23.0	0.0	0.0	16.0	39.0	0.0	17.0	35.0	0.1384016140706248	1.5610859728506785	0.918404401512686	43.0	No
725.0	595.0	137.0	0.4557823129251701	0.12244897959183673	4.0	3.993197278911565	4.0	0.0	0.5	19.0	34.25	74.0	0.48299319727891155	16.911678832116788	65.85811131386863	12.582098540145989	7.409898540145985	16.0	8.07648339933343	47.38868613138686	41.71281193854723	1.1764705882352942	1.8513513513513513	0.5401459854014599	6.3222466671040305	630.5122912366298	46.63260340632604	0.29927007299270075	0.0948905109489051	0.6111111111111112	4.461538461538462	33.0	5.0	1.0	8.0	3.0	0.0	18.0	9.0	1.0	0.0	0.0	3.0	26.0	5.0	0.0	0.0	0.0	0.0	7.0	2.0	8.0	0.0	0.0	0.0	0.0	4.0	0.0	11.0	5.0	4.0	3.0	10.0	0.0	1.0	0.0	2.0	0.0	1.0	5.0	32.0	0.021085590203610182	-1.9547511312217196	0.06808784346675201	20.0	No
3807.0	3094.0	733.0	0.530952380952381	0.11666666666666667	1.0	3.632142857142857	41.0	0.12195121951219512	0.1951219512195122	9.0	17.878048780487806	306.0	0.444047619047619	10.370864805510266	79.73598376202044	6.579164808837721	7.926825571490367	7.0	8.25429008570747	31.24776228662696	53.05199174819907	1.136531365313653	2.395424836601307	0.417462482946794	11.302367883842702	623.6666666666666	125.64936371972355	0.24829467939972716	0.12141882673942701	0.7777777777777778	4.637931034482759	151.0	29.0	5.0	50.0	3.0	0.0	79.0	80.0	1.0	5.0	0.0	17.0	162.0	8.0	14.0	0.0	1.0	3.0	38.0	27.0	50.0	0.0	0.0	2.0	0.0	24.0	0.0	49.0	40.0	13.0	8.0	33.0	8.0	1.0	0.0	11.0	12.0	0.0	15.0	41.0	0.15310621480805947	1.124434389140271	1.0384062686157711	45.0	No
2694.0	2167.0	536.0	0.5108877721943048	0.10552763819095477	4.0	3.5812395309882747	38.0	0.13157894736842105	0.05263157894736842	10.0	14.105263157894736	230.0	0.48576214405360135	8.030164964650432	85.66330714846819	4.8151571091908885	6.250953142183818	4.0	7.168621630094336	25.85899450117832	49.75180419389276	0.8405172413793104	2.3304347826086955	0.4291044776119403	9.93448689418564	635.9061764467169	96.27505853087506	0.2555970149253731	0.07835820895522388	0.75	4.74468085106383	111.0	18.0	6.0	39.0	1.0	0.0	53.0	39.0	1.0	8.0	0.0	10.0	100.0	4.0	3.0	0.0	1.0	1.0	52.0	15.0	51.0	0.0	0.0	4.0	0.0	18.0	0.0	30.0	25.0	12.0	5.0	23.0	16.0	0.0	0.0	8.0	8.0	1.0	5.0	31.0	0.13625360152030136	-0.5067873303167421	0.7022412118486816	40.0	No
3633.0	2898.0	749.0	0.5849056603773585	0.054245283018867926	3.0	3.3408018867924527	52.0	0.11538461538461539	0.019230769230769232	12.0	14.403846153846153	255.0	0.49174528301886794	7.684101879428983	89.88185182807847	4.300931241655544	5.932038913423026	3.0	7.539968504222095	20.54536818321865	43.883942708241236	0.8795986622073578	2.937254901960784	0.3404539385847797	9.317497214333837	943.8399999999999	74.513926801187	0.1602136181575434	0.05874499332443257	0.7222222222222222	4.629032258064516	136.0	49.0	6.0	57.0	3.0	0.0	73.0	63.0	3.0	3.0	0.0	13.0	148.0	9.0	0.0	0.0	0.0	0.0	84.0	30.0	47.0	1.0	0.0	4.0	0.0	18.0	0.0	46.0	23.0	9.0	6.0	28.0	24.0	2.0	0.0	9.0	6.0	0.0	7.0	36.0	0.12179436825428507	-1.393665158371041	0.561392612695347	30.0	No
1512.0	1233.0	280.0	0.5197568389057751	0.1033434650455927	3.0	3.6565349544072947	30.0	0.16666666666666666	0.0	9.0	9.333333333333334	146.0	0.4133738601823708	7.161904761904762	86.47523809523811	3.5164285714285732	6.806290476190476	3.0	6.742157984588678	21.476190476190474	51.52478095932003	0.9369369369369369	1.917808219178082	0.5214285714285715	8.725168848141074	480.0634794683595	93.4563432835821	0.3107142857142857	0.11428571428571428	0.7777777777777778	4.09375	62.0	15.0	3.0	24.0	1.0	0.0	22.0	26.0	2.0	6.0	0.0	1.0	62.0	0.0	3.0	0.0	1.0	0.0	22.0	9.0	12.0	4.0	1.0	1.0	0.0	3.0	0.0	10.0	4.0	10.0	4.0	17.0	17.0	3.0	0.0	3.0	4.0	0.0	0.0	30.0	0.11341451372682494	-0.7556561085972859	0.5378106792409907	35.0	No
3222.0	2587.0	636.0	0.575208913649025	0.11559888579387187	3.0	3.5487465181058497	28.0	0.0	0.17857142857142858	11.0	22.714285714285715	274.0	0.48746518105849584	11.412758310871519	77.63094339622641	8.074231805929923	6.923081401617251	9.0	8.192908349453996	35.76460017969452	52.64633910571893	1.3031674208144797	2.321167883211679	0.4308176100628931	10.864806724338575	692.7764956260969	117.06575975537719	0.2672955974842767	0.09748427672955975	0.7777777777777778	5.378378378378378	125.0	31.0	4.0	72.0	1.0	0.0	71.0	39.0	0.0	2.0	0.0	7.0	149.0	4.0	10.0	0.0	1.0	1.0	38.0	12.0	44.0	0.0	1.0	8.0	0.0	22.0	0.0	29.0	40.0	20.0	12.0	15.0	9.0	3.0	0.0	9.0	12.0	0.0	5.0	32.0	0.07831496566255756	1.7805429864253401	0.6555879755999365	40.0	No
4610.0	3759.0	873.0	0.5534653465346535	0.11584158415841585	1.0	3.6425742574257427	61.0	0.14754098360655737	0.04918032786885246	13.0	14.311475409836065	340.0	0.401980198019802	8.977740221208194	84.93565658272776	4.967878617167109	8.705329707246541	5.0	7.925487318751	27.71353726550617	51.94401903583584	1.321311475409836	2.5676470588235296	0.38946162657502864	11.507256538181016	790.1595288982677	125.46071535259364	0.2313860252004582	0.14432989690721648	0.7777777777777778	4.493827160493828	186.0	32.0	7.0	107.0	1.0	1.0	86.0	74.0	1.0	1.0	0.0	10.0	234.0	2.0	32.0	0.0	0.0	2.0	38.0	20.0	59.0	0.0	0.0	13.0	0.0	20.0	0.0	39.0	84.0	18.0	11.0	17.0	17.0	6.0	0.0	6.0	29.0	8.0	30.0	43.0	0.0941392022627036	3.350678733031674	0.8300638323966011	42.0	No
2720.0	2243.0	531.0	0.49270664505672607	0.10210696920583469	1.0	3.5786061588330633	7.0	0.0	0.7142857142857143	62.0	75.85714285714286	235.0	0.39708265802269044	32.753403282216844	19.270508474576303	29.416507936507944	11.829729916599408	36.0	14.554592549557764	87.72154963680387	51.37305510079582	1.5303030303030303	2.2595744680851064	0.4425612052730697	10.198131360164535	669.7542533081286	108.39385465974449	0.2787193973634652	0.13559322033898305	0.6666666666666666	4.0	109.0	5.0	0.0	37.0	0.0	1.0	62.0	56.0	0.0	0.0	0.0	3.0	160.0	3.0	32.0	0.0	2.0	2.0	30.0	15.0	42.0	2.0	0.0	0.0	0.0	12.0	0.0	18.0	27.0	28.0	6.0	20.0	10.0	3.0	0.0	7.0	38.0	0.0	30.0	32.0	0.12657566760827596	2.8122171945701355	0.891910474569064	34.0	No
4116.0	3273.0	868.0	0.5564941921858501	0.06863780359028511	2.0	3.4181626187961984	32.0	0.0625	0.375	21.0	27.125	288.0	0.5174234424498416	12.186405529953918	77.45174251152076	9.194971198156683	7.510482949308756	10.0	7.04035	34.61347926267281	44.79547188123911	0.9155313351498637	3.013888888888889	0.3317972350230415	9.775356959550683	1368.8949248025754	78.01125059590021	0.16589861751152074	0.09101382488479262	0.7777777777777778	4.934426229508197	192.0	43.0	7.0	47.0	2.0	0.0	94.0	76.0	2.0	1.0	0.0	18.0	164.0	7.0	7.0	0.0	0.0	1.0	77.0	22.0	75.0	1.0	0.0	6.0	0.0	37.0	1.0	62.0	53.0	15.0	12.0	35.0	15.0	2.0	0.0	12.0	33.0	6.0	38.0	29.0	0.11526994278916029	-0.880090497737557	0.6262465321411366	33.0	No
1856.0	1501.0	362.0	0.5152284263959391	0.12690355329949238	2.0	3.7588832487309647	22.0	0.0	0.045454545454545456	17.0	16.454545454545453	187.0	0.49746192893401014	10.007232546459065	77.72313912606732	6.5062782521346065	6.895297388247112	6.0	8.710501217029154	30.26670015067805	55.44415364121398	1.129496402877698	1.9358288770053476	0.5165745856353591	9.828501793956807	472.1651974399227	108.74337805840565	0.3425414364640884	0.1298342541436464	0.7222222222222222	6.409090909090909	69.0	8.0	5.0	33.0	1.0	0.0	45.0	21.0	2.0	5.0	0.0	4.0	77.0	2.0	2.0	0.0	0.0	0.0	24.0	15.0	24.0	2.0	1.0	5.0	0.0	16.0	0.0	19.0	21.0	9.0	6.0	10.0	4.0	0.0	0.0	0.0	4.0	0.0	4.0	32.0	0.10411442729894597	1.6651583710407234	0.6908107698243557	38.0	No
3466.0	2775.0	692.0	0.5445026178010471	0.09554973821989529	3.0	3.5785340314136125	40.0	0.075	0.075	17.0	17.3	258.0	0.4725130890052356	9.289942196531792	84.74804335260119	5.736479768786129	7.48372739884393	6.0	7.6454224807358475	27.84913294797688	46.53911682817918	0.9017543859649123	2.682170542635659	0.37283236994219654	9.807688384379201	1078.72	84.66559228576754	0.19653179190751446	0.11271676300578035	0.75	4.5396825396825395	160.0	39.0	6.0	56.0	1.0	0.0	67.0	53.0	2.0	2.0	0.0	7.0	138.0	1.0	10.0	0.0	0.0	2.0	55.0	20.0	43.0	0.0	0.0	4.0	0.0	24.0	0.0	42.0	61.0	7.0	10.0	35.0	5.0	3.0	0.0	12.0	23.0	1.0	5.0	40.0	0.17211874394372734	1.7058823529411757	0.9572064814289651	36.0	No
3075.0	2454.0	623.0	0.5829725829725829	0.09668109668109669	2.0	3.4834054834054835	37.0	0.0	0.05405405405405406	14.0	16.83783783783784	262.0	0.5036075036075036	9.046531603834977	83.82485141642448	5.750432519196565	7.107547607479068	5.0	7.730073105063049	27.592251963038482	50.94833776461994	0.8945454545454545	2.377862595419847	0.420545746388443	10.49680835081655	753.9856773001862	105.7573531700333	0.26484751203852325	0.11075441412520064	0.7777777777777778	5.090909090909091	137.0	22.0	4.0	39.0	1.0	0.0	73.0	48.0	3.0	0.0	0.0	9.0	113.0	3.0	2.0	0.0	2.0	2.0	59.0	33.0	42.0	1.0	0.0	9.0	0.0	22.0	0.0	30.0	56.0	17.0	16.0	10.0	8.0	1.0	0.0	2.0	5.0	1.0	7.0	37.0	0.1381679801838493	1.260180995475114	0.8443124233869537	45.0	No
4170.0	3342.0	842.0	0.531284302963776	0.10537870472008781	2.0	3.6136114160263446	36.0	0.027777777777777776	0.2777777777777778	14.0	23.38888888888889	282.0	0.4983534577387486	11.68334652942729	76.08933953549752	8.456844813935081	6.971933306941145	9.0	8.256446698504663	34.79031406703616	44.76060285349859	0.9941690962099126	2.9858156028368796	0.334916864608076	9.718361786817644	1102.9728003753469	76.82215388530709	0.16389548693586697	0.07363420427553444	0.7777777777777778	5.916666666666667	192.0	27.0	5.0	60.0	2.0	0.0	98.0	66.0	3.0	4.0	0.0	8.0	155.0	7.0	2.0	0.0	0.0	1.0	77.0	28.0	41.0	4.0	0.0	6.0	0.0	44.0	0.0	67.0	32.0	33.0	2.0	34.0	24.0	6.0	0.0	9.0	5.0	0.0	6.0	36.0	0.1398458667276632	-0.9366515837104075	0.7839586717973068	31.0	No
1244.0	1019.0	234.0	0.5563380281690141	0.10211267605633803	1.0	3.5492957746478875	17.0	0.11764705882352941	0.058823529411764705	7.0	13.764705882352942	122.0	0.40492957746478875	8.924685771744596	85.84843891402717	4.704731020613377	7.963075565610859	5.0	7.724431198458867	26.157868275515334	48.37043490754721	1.2183908045977012	1.9180327868852458	0.5213675213675214	7.975389495619484	564.7891658971992	80.64438339438341	0.29914529914529914	0.10683760683760683	0.7222222222222222	3.75	43.0	9.0	1.0	22.0	1.0	0.0	24.0	17.0	6.0	3.0	0.0	5.0	53.0	2.0	10.0	0.0	0.0	0.0	21.0	4.0	13.0	5.0	0.0	1.0	0.0	3.0	0.0	8.0	3.0	8.0	6.0	15.0	3.0	0.0	0.0	3.0	7.0	0.0	6.0	31.0	0.1599871234373348	0.5972850678733028	0.8318146803947195	30.0	No
