numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	score
908	751	162	0.502702703	0.140540541	2	3.978378378	9	0	0.111111111	17	18	87	0.427027027	11.89135802	64.27611111	8.765802469	9.012880247	9	11.85546408	34.04938272	44.12936377	2.093023256	0.537037037	6.835365551	674.9891131	57.62407407	0.333333333	2.042752923	0.611111111	7.888888889	0.154320988	7	1	15	0	0	20	17	0	0	0	1	48	4	5	0	0	0	1	11	6	0	0	1	0	6	0	5	2	4	3	4	7	2	0	1	7	0	7	4	0.983850121	6	1.037723159	3
775	630	150	0.518292683	0.103658537	3	3.792682927	7	0	0.142857143	23	21.42857143	96	0.493902439	12.03809524	72.285	8.50047619	7.857357143	9	9.957137785	32.76190476	58.72600643	1.089285714	0.64	7.838367177	417.2839506	93.29777778	0.406666667	1.877942136	0.694444444	5.111111111	0.213333333	7	1	17	0	0	14	6	1	0	0	2	32	1	3	0	0	0	10	4	8	1	0	1	0	5	0	6	6	3	3	8	6	2	0	4	6	0	2	3	0.987694085	6	1.032422314	3
182	145	38	0.608695652	0.043478261	1	3.130434783	1	0	1	38	38	30	0.391304348	15.2	70.30710526	12.89315789	9.261036842	15	3.1291	43.26315789	57.77543321	1.818181818	0.789473684	4.866642634	534.9794239	68.09210526	0.5	1.135549948	0.333333333	3.4	0.184210526	2	0	7	0	0	3	5	0	0	0	0	13	0	3	0	0	0	2	1	1	0	0	0	0	0	0	0	1	1	0	0	5	0	0	0	5	0	0	2	0.923202753	5.8	0.960049936	1
1061	862	200	0.490825688	0.087155963	3	3.857798165	11	0.090909091	0.181818182	18	18.18181818	103	0.509174312	9.272727273	79.24645455	6.722909091	6.433118182	8	8.296473432	27.68181818	44.90065458	1.054794521	0.515	7.283199846	878.4817876	59.60726804	0.31	1.343502884	0.527777778	6.272727273	0.17	8	0	24	0	0	27	15	0	0	0	6	43	0	0	0	2	0	23	5	7	0	0	0	0	1	0	10	1	4	2	13	4	0	0	1	2	0	1	3	0.977766931	6	1.019152421	1
409	331	80	0.488636364	0.090909091	4	3.715909091	4	0	0	13	20	57	0.522727273	9.5	73.3825	7.9925	7.39175	8	8.841846275	30	58.81145568	1.7	0.7125	6.372793736	430.758277	77.69347826	0.475	1.229837388	0.472222222	7	0.1125	5	0	10	1	0	12	7	1	0	0	0	21	0	0	0	0	0	3	3	5	0	0	1	0	1	0	2	3	0	0	1	3	0	0	2	2	0	0	3	0.981050193	6	1.028046279	1
469	378	94	0.572815534	0.106796117	3	3.640776699	6	0	0	9	15.66666667	62	0.485436893	7.968794326	83.83333333	5.458297872	7.605162411	5	7.793537801	27.36879433	51.83840133	1.090909091	0.659574468	6.394811727	564.803805	65.81316489	0.425531915	1.34084762	0.472222222	5.125	0.223404255	2	4	11	0	0	10	5	0	0	0	0	20	0	0	0	0	0	6	4	2	0	0	3	0	2	0	6	8	4	0	1	2	0	0	4	5	2	0	3	0.970182836	6	1.013530155	1
568	466	103	0.478632479	0.136752137	3	3.931623932	7	0	0	13	14.71428571	59	0.444444444	9.769209431	69.51747573	7.218474341	6.359241193	7	9.236282657	30.2482663	40.82528367	1.875	0.572815534	5.813442741	766.9421488	44.93347308	0.281553398	0.788263423	0.5	6.142857143	0.145631068	6	0	10	0	0	13	17	0	0	0	1	26	2	0	0	0	0	4	3	2	0	0	0	0	2	0	3	5	1	1	4	1	0	0	2	0	0	2	3	0.979299664	6	1.020545865	2
738	596	146	0.506493506	0.097402597	3	3.805194805	3	0	1	64	48.66666667	91	0.525974026	21.11050228	48.50134703	18.58452055	8.429681735	22	12.4579756	58.94063927	54.99036676	1.096153846	0.623287671	7.531213586	457.1280992	79.40684932	0.410958904	1.324169422	0.583333333	7.4	0.143835616	9	0	14	0	0	20	13	0	0	0	3	29	1	0	0	1	0	14	6	9	0	0	1	0	1	0	7	3	3	3	1	4	0	0	2	4	0	0	2	0.984416366	6	1.03014361	2
894	739	166	0.512820513	0.087179487	3	3.728205128	11	0.090909091	0	8	15.09090909	86	0.451282051	8.205038335	78.88760679	6.0050931	7.80934644	6	7.68629501	25.33187295	42.24108577	1.095238095	0.518072289	6.674894521	906.8739521	54.30045181	0.295180723	1.862761262	0.638888889	4.466666667	0.186746988	7	0	21	0	0	13	9	0	0	0	1	41	4	3	0	1	0	14	9	6	1	0	1	0	5	0	8	6	1	2	5	9	0	0	2	7	0	8	4	0.994121075	6	1.040227626	4
872	715	161	0.407821229	0.078212291	4	3.865921788	6	0	0.5	10	26.83333333	93	0.441340782	12.22401656	68.2004089	10.4128882	7.615445756	12	10.1257567	35.52898551	49.5461899	1.551020408	0.577639752	7.329426778	527.7111476	70.705654	0.341614907	1.418598731	0.666666667	4.888888889	0.173913043	4	2	26	1	0	17	5	3	0	0	1	49	1	1	0	0	0	5	5	10	0	0	0	0	3	0	8	7	1	4	5	3	1	0	4	4	0	8	4	0.991118968	6	1.037329417	3
717	587	133	0.493243243	0.141891892	3	3.898648649	8	0	0	9	16.625	84	0.459459459	9.958270677	73.55611372	7.129840226	8.022754135	7	10.1257567	32.41447368	54.45173912	0.980769231	0.631578947	7.283723744	425.7067719	80.12030075	0.368421053	1.647508942	0.527777778	5.9	0.210526316	3	0	16	0	0	15	14	0	0	0	2	24	2	0	0	0	0	12	4	7	0	0	0	0	4	0	8	5	5	1	3	6	0	0	2	6	0	2	4	0.974052608	5.8	1.021684726	2
615	503	114	0.520325203	0.113821138	3	3.991869919	5	0	0	29	22.8	68	0.463414634	12.62877193	64.95615789	9.863403509	6.845011579	10	9.3871	35.08070175	45.74116964	1.757575758	0.596491228	6.368783519	650.887574	54.22883295	0.377192982	1.123902974	0.5	6.833333333	0.157894737	8	0	13	0	0	13	7	0	0	0	0	31	4	1	0	0	0	9	4	2	0	0	0	0	3	0	4	3	1	5	1	4	0	0	2	2	0	3	3	0.985169113	6	1.039542046	2
1042	857	189	0.493150685	0.118721461	3	3.863013699	9	0	0.111111111	14	21	116	0.429223744	11.57460317	63.76761905	9.582010582	7.852808995	10	10.25414643	34.75661376	58.86699328	1.258064516	0.613756614	8.437758422	584.2975207	106.7936508	0.412698413	2.109439606	0.666666667	5.083333333	0.185185185	7	0	26	1	0	22	20	0	0	0	2	44	2	0	0	1	1	5	8	13	0	0	1	0	4	0	5	10	4	2	6	8	1	0	1	1	0	10	3	0.99217993	6	1.042599539	4
939	763	179	0.512562814	0.105527638	3	3.798994975	8	0	0.25	10	22.375	103	0.522613065	12.07849162	65.96795042	9.616696927	7.480881006	10	10.9516	34.10684358	51.24013847	1.03125	0.575418994	7.698581455	467.2992552	77.59449427	0.340782123	1.793844223	0.583333333	6.75	0.17877095	11	0	20	0	0	21	16	0	0	0	2	31	1	0	0	0	0	16	4	11	0	0	4	0	5	0	6	15	5	3	1	2	1	0	3	2	0	0	3	0.984199762	6	1.033390423	2
724	591	135	0.523178808	0.132450331	3	3.821192053	7	0	0	14	19.28571429	73	0.42384106	11.26984127	63.18	9.238095238	8.101960317	8	10.60884064	34.1005291	41.54087977	1.970588235	0.540740741	6.282839651	1364.619377	48.06923536	0.340740741	1.893458525	0.666666667	6.75	0.162962963	4	1	27	0	1	13	5	1	1	0	2	41	1	4	0	0	1	2	4	5	1	0	0	0	3	0	5	3	0	5	2	7	1	0	0	4	0	5	3	0.975265384	6	1.018711845	2
1094	905	196	0.495652174	0.12173913	1	3.843478261	13	0	0.153846154	11	15.07692308	101	0.404347826	9.091993721	73.69620879	6.725714286	7.52620314	7	9.265573868	29.36263736	44.60624068	1.482758621	0.515306122	7.214285714	725.7617729	63.00295381	0.275510204	1.928571429	0.666666667	5	0.168367347	9	1	26	0	1	22	20	1	0	0	1	52	3	3	0	0	2	10	6	9	0	0	0	0	3	0	4	10	2	1	6	10	1	0	1	5	0	6	3	0.990802765	6	1.044187484	4
567	462	107	0.504065041	0.097560976	4	3.691056911	6	0	0	19	17.83333333	78	0.463414634	9.750155763	74.08930685	7.355654206	8.21028567	7	10.1257567	29.0482866	71.38383721	1.243243243	0.728971963	7.540544615	261.1395179	120.5820174	0.514018692	1.933472978	0.527777778	6.166666667	0.14953271	5	0	12	0	0	12	9	0	0	0	2	25	0	2	0	0	0	5	4	10	1	0	0	0	1	0	3	4	0	6	1	2	0	0	4	2	4	0	3	0.985770464	6	1.033748353	2
675	554	126	0.423357664	0.102189781	4	3.941605839	8	0	0	13	15.75	82	0.416058394	8.204761905	70.66303571	7.315992063	6.798731746	7	9.516144504	26.86111111	56.83370037	1.390243902	0.650793651	7.305140612	407.6265615	83.07972583	0.436507937	1.247219129	0.527777778	4.833333333	0.150793651	7	0	10	0	0	12	11	0	0	0	3	34	2	1	0	0	1	4	10	8	0	0	1	0	5	0	7	9	2	1	0	0	1	0	0	2	0	4	3	0.982579947	6	1.03597131	2
495	412	84	0.450549451	0.241758242	3	4.450549451	5	0	0	16	16.8	58	0.406593407	12.43428571	58.85442857	9.223904762	8.981208571	10	11.97924847	42.99047619	55.19205153	1.882352941	0.69047619	6.328318817	529.3367347	70.08333333	0.511904762	2.073069957	0.361111111	7	0.119047619	3	0	15	0	0	7	15	0	0	0	0	22	0	0	0	0	0	2	2	3	0	0	0	0	3	0	2	5	0	0	0	3	0	0	2	2	0	1	3	0.979774237	6	1.022182036	2
269	221	51	0.533333333	0.15	4	3.583333333	4	0.25	0	6	12.75	38	0.383333333	7.452941176	84.41139706	4.653088235	10.15144902	4	5.985473137	30.39705882	54.48196621	1.666666667	0.745098039	5.321064319	604.0816327	65.33936652	0.509803922	1.400280084	0.416666667	3.666666667	0.117647059	3	0	1	0	0	6	10	0	0	0	1	17	0	1	0	0	1	4	3	1	1	0	0	0	0	0	1	4	0	1	0	0	0	0	0	2	0	0	2	0.917212248	5.8	0.959496864	1
828	680	150	0.496969697	0.145454545	3	4.096969697	7	0	0.142857143	19	21.42857143	88	0.472727273	12.83809524	62.133	9.91647619	8.173157143	11	12.28987398	37.42857143	49.54079328	1.377777778	0.586666667	7.185169912	568.8581315	68.69677419	0.38	2.12289111	0.583333333	7.285714286	0.146666667	10	0	17	1	0	22	14	0	2	0	3	31	3	0	0	0	1	10	6	4	0	1	0	0	2	0	3	14	3	1	0	1	0	0	0	4	0	0	4	0.980799675	6	1.032383108	3
933	772	164	0.515625	0.161458333	1	3.958333333	6	0	0.333333333	17	27.33333333	96	0.4375	16.05528455	51.67581301	12.84195122	8.843452846	14	12.4579756	46.23577236	51.0747351	2.069767442	0.585365854	7.496340571	538.2716049	79.33428981	0.353658537	2.342606428	0.611111111	6.153846154	0.152439024	7	2	21	1	0	21	14	0	0	0	1	50	0	5	0	1	0	4	8	6	0	0	2	0	5	0	6	6	7	1	0	5	1	0	2	3	0	10	4	0.988648236	6	1.040041197	4
1332	1103	238	0.490636704	0.157303371	4	4.06741573	12	0	0	21	19.83333333	105	0.471910112	12.63921569	67.62433473	8.754243697	8.733594678	10	10.50422373	37.48039216	39.26721369	2.033333333	0.441176471	6.806139097	1292.725232	46.49767802	0.260504202	2.398353777	0.555555556	5.714285714	0.121848739	9	0	30	0	0	33	26	0	0	0	0	74	1	7	0	0	1	7	16	8	0	0	0	0	5	0	4	4	1	1	2	17	1	0	1	7	1	9	3	0.983315945	6	1.038450788	4
507	417	93	0.428571429	0.104761905	4	3.914285714	9	0.111111111	0	7	10.33333333	66	0.428571429	7.144086022	68.08215054	6.330322581	7.035377419	4	8.51512884	22.16129032	62.14478188	1.0625	0.709677419	6.843881185	337.6165281	91.07526882	0.516129032	1.555427542	0.583333333	4.3	0.182795699	6	0	13	1	0	5	14	0	1	0	1	19	0	1	0	0	0	4	1	9	1	0	0	0	2	0	2	1	6	1	1	6	0	0	1	3	0	5	2	0.981978238	6	1.027486508	3
610	493	118	0.464	0.112	4	3.896	6	0	0.166666667	14	19.66666667	67	0.544	10.23954802	76.46316384	7.48	7.154424294	8	7.16862163	31.53107345	42.55235844	0.978723404	0.56779661	6.16784994	731.3609467	46.620555	0.36440678	1.288804465	0.5	6.285714286	0.211864407	5	0	13	0	0	15	10	0	0	0	1	23	0	0	0	0	0	16	3	2	0	0	0	0	3	0	4	3	2	3	4	9	0	0	1	5	0	2	3	0.976197481	5.8	1.018668014	2
804	659	148	0.473684211	0.128654971	4	3.783625731	7	0	0.142857143	26	21.14285714	98	0.391812865	11.43011583	66.4777027	9.239498069	7.779172201	9	10.29040645	36.00772201	63.04157472	1.277777778	0.662162162	8.055550378	375.5585074	110.9651351	0.405405405	2.054987341	0.527777778	5	0.216216216	8	1	9	3	0	13	17	0	0	0	1	38	2	1	0	0	0	8	5	9	0	0	0	0	10	0	10	12	4	1	5	0	0	0	0	8	0	5	3	0.97415489	6	1.025188692	3
772	626	148	0.481707317	0.103658537	4	3.798780488	13	0	0	10	11.38461538	95	0.481707317	7.526819127	83.24177755	4.477027027	6.334960707	4	7.321109707	22.87110187	58.7910673	1.31372549	0.641891892	7.808951897	435.9376887	94.34599694	0.466216216	1.479590886	0.611111111	4.571428571	0.182432432	4	0	17	0	0	19	9	1	0	0	1	38	1	1	0	0	0	9	10	5	0	0	1	0	3	0	4	7	2	3	9	2	2	0	2	5	1	3	3	0.986500919	6	1.0316004	3
562	463	101	0.490909091	0.136363636	3	4.145454545	6	0	0	15	16.83333333	73	0.5	11.08976898	69.13134488	7.798762376	7.75450264	8	9.725611199	31.68481848	67.88625474	0.972972973	0.722772277	7.263771489	336.0638521	103.6403819	0.514851485	1.791066942	0.444444444	5.285714286	0.118811881	8	0	10	0	0	10	7	0	0	0	1	23	0	1	0	0	0	10	9	6	0	0	0	0	2	0	5	2	0	0	1	4	0	0	4	5	0	2	4	0.985611677	6	1.038661845	3
750	608	145	0.524390244	0.109756098	4	3.603658537	8	0	0	15	18.125	84	0.506097561	10.28448276	78.74984914	6.778060345	7.802396552	7	7.645422481	30.5387931	47.81452484	1.125	0.579310345	6.975820308	538.3752604	65.41458451	0.331034483	1.993091516	0.611111111	5.3	0.193103448	6	0	14	0	0	18	11	0	0	0	1	30	2	4	0	1	0	11	6	10	0	0	1	0	6	0	8	2	1	2	5	10	0	0	2	8	0	2	4	0.97423166	5.8	1.025042546	3
664	545	121	0.5	0.115942029	4	3.891304348	6	0	0	28	20.16666667	71	0.471014493	13.02534435	68.90467631	8.658471074	7.638171625	9	10.1257567	33.38980716	45.49805224	1.41025641	0.58677686	6.454545455	629.3252595	57.49239669	0.355371901	1.636363636	0.555555556	6.833333333	0.132231405	6	1	13	0	0	17	7	0	0	0	0	30	4	0	0	0	1	10	6	6	0	0	0	0	2	0	1	6	1	1	1	6	2	0	0	0	0	2	4	0.987782061	6	1.0420268	2
851	706	148	0.460227273	0.125	4	3.931818182	11	0.090909091	0	13	13.45454545	97	0.397727273	9.165601966	74.85296069	6.161326781	8.998169779	7	9.095868883	28.31941032	61.57026403	1.744680851	0.655405405	7.973350884	390.0495109	109.6968733	0.432432432	2.301585822	0.611111111	4.6	0.189189189	3	1	23	1	1	20	3	0	0	0	2	51	0	2	0	0	0	5	7	6	0	0	0	0	2	0	4	6	2	5	8	3	1	0	0	7	0	7	3	0.983660698	6	1.033283634	3
1560	1304	262	0.449511401	0.149837134	1	4.110749186	20	0.1	0.05	10	13.1	137	0.348534202	9.820152672	68.89880534	6.903732824	9.228168397	7	10.24141175	30.65725191	50.55571711	1.430232558	0.522900763	8.463888266	617.7514793	87.97073282	0.34351145	3.397911348	0.694444444	5.227272727	0.164122137	13	1	16	0	0	28	29	3	1	0	2	70	3	8	0	0	0	12	23	7	0	0	0	1	7	0	13	13	2	5	2	8	1	0	1	15	0	9	4	0.980330527	6	1.040190476	4
511	418	95	0.490566038	0.132075472	4	3.858490566	4	0	0	29	23.75	72	0.518867925	12.86842105	66.96032895	9.819868421	7.141447368	11	11.20814326	38.48684211	77.0632768	1.379310345	0.757894737	7.387044135	218.4415039	125.7446224	0.547368421	1.436369693	0.583333333	7.5	0.178947368	4	0	11	1	0	12	6	0	1	0	3	22	1	0	0	0	0	8	2	2	0	0	1	0	2	0	5	5	2	1	3	1	2	0	0	2	0	0	2	0.983640254	6	1.038115734	2
580	480	101	0.491071429	0.205357143	2	4.169642857	6	0	0.166666667	9	16.83333333	69	0.375	13.069967	64.94322607	8.382920792	8.848859076	9	10.86419502	39.60561056	58.17877173	1.84	0.683168317	6.865756612	447.6584022	82.49257426	0.485148515	1.890570661	0.527777778	5.25	0.118811881	5	1	7	1	0	14	12	0	0	0	1	28	1	1	0	0	0	7	3	2	0	0	0	0	0	0	1	7	2	0	0	2	0	0	7	2	0	0	2	0.969834447	6	1.012891299	3
623	508	116	0.518518519	0.081481481	3	3.696296296	7	0	0	18	16.57142857	62	0.474074074	8.697536946	74.78396552	6.945270936	6.908615271	7	9.236282657	26.05418719	38.39834041	1.545454545	0.534482759	5.756555483	1197.291474	41.42241379	0.284482759	1.114172029	0.638888889	6.25	0.155172414	4	2	15	0	0	15	8	0	0	0	1	28	2	2	0	0	1	9	5	1	0	0	0	1	1	0	3	2	1	2	5	5	2	0	4	3	0	2	4	0.983754277	6	1.027985428	3
518	422	98	0.495495495	0.063063063	3	3.72972973	5	0	0.2	18	19.6	65	0.423423423	9.472653061	79.89610204	6.984612245	8.475598776	8	8.238735603	26.74285714	53.46025503	1.785714286	0.663265306	6.56599154	470.3036818	72.50695733	0.43877551	1.414213562	0.611111111	6.333333333	0.173469388	5	1	9	0	0	12	12	1	0	0	1	28	1	4	0	0	0	4	5	2	0	0	0	0	2	0	4	6	1	2	2	2	1	0	1	7	0	2	2	0.968550146	5.8	1.014379662	2
255	195	51	0.555555556	0.092592593	3	3.574074074	4	0.25	0	24	12.75	34	0.611111111	7.452941176	91.04669118	3.727598039	7.364978431	3	5.985473137	22.55392157	40.06096894	1.666666667	0.666666667	4.760952286	771.3498623	36	0.450980392	0.980196059	0.416666667	6	0.196078431	1	0	9	0	0	6	3	0	0	0	0	14	0	0	0	1	0	1	2	0	0	0	0	0	2	0	2	2	0	3	2	1	0	0	0	1	1	1	3	0.967635512	6	0.999708932	1
811	664	149	0.45508982	0.137724551	4	3.946107784	4	0	0.75	31	37.25	94	0.45508982	17.58456376	45.81685403	16.1227349	9.193160403	18	14.90622815	52.68624161	56.82191657	1.315789474	0.630872483	7.700780053	381.4814815	90.03123856	0.395973154	2.130002993	0.611111111	7.333333333	0.214765101	5	1	17	0	0	18	8	0	0	0	0	37	4	5	0	0	0	4	7	10	0	0	2	0	2	0	3	9	4	5	6	5	3	0	1	10	0	10	3	0.98658818	6	1.036649197	3
904	747	160	0.465116279	0.162790698	3	4.255813953	8	0	0	20	20	89	0.459302326	12.5	64.39375	9.24625	7.8851875	10	11.93303328	37.5	46.40565557	1.431818182	0.55625	7.036067794	608.436993	59.9653169	0.325	2.055480479	0.527777778	7	0.15625	9	0	22	0	0	14	17	0	0	0	4	44	1	0	0	0	1	9	2	7	0	0	0	0	2	0	9	1	0	2	3	10	0	0	3	6	0	2	4	0.988563418	6	1.037283511	3
832	695	148	0.5	0.182352941	4	4.041176471	8	0	0.125	23	18.5	107	0.429411765	12.53513514	62.87236486	9.085810811	8.928356757	9	11.69821941	39.44594595	79.45578761	1.860465116	0.722972973	8.795345821	222	160.3765656	0.5	2.548184303	0.666666667	4.714285714	0.128378378	6	0	13	1	1	18	11	0	0	0	3	48	2	8	0	1	2	6	7	9	1	0	0	0	2	0	5	8	0	2	2	2	0	0	2	7	0	15	4	0.97980237	6	1.036679867	3
728	588	143	0.474025974	0.103896104	4	3.746753247	8	0	0	8	17.875	79	0.571428571	9.947202797	83.38558129	6.069361888	6.952330769	7	7.645422481	29.06381119	43.94122829	0.919354839	0.552447552	6.606311879	664.8888889	52.50841346	0.307692308	1.588859819	0.527777778	5.1	0.20979021	9	0	12	0	0	20	8	0	0	0	2	28	2	0	0	0	0	12	8	6	1	0	0	0	2	0	7	7	2	3	4	7	0	0	0	4	0	4	4	0.983617425	6	1.033265638	3
445	365	82	0.553191489	0.106382979	3	3.765957447	5	0	0	10	16.4	56	0.5	10.46243902	74.63778049	6.923073171	7.145793659	7	9.888512548	28.59512195	53.09272201	1.461538462	0.682926829	6.18416546	510.3550296	69.13320826	0.43902439	1.104315261	0.472222222	5.2	0.134146341	3	0	7	0	0	13	7	0	0	0	1	22	0	1	0	0	1	6	6	3	0	0	0	0	2	0	2	4	0	0	3	2	0	0	1	2	0	2	3	0.982084632	6	1.032019911	2
287	237	52	0.535714286	0.214285714	3	4.160714286	3	0.333333333	0.333333333	30	17.33333333	34	0.482142857	11.54871795	54.20705128	10.00461538	8.140079487	8	13.5591	40.41025641	38.68698391	1.769230769	0.653846154	4.714951668	839.84375	34.58119658	0.403846154	1.248075442	0.333333333	6	0.134615385	3	0	6	0	0	9	7	0	0	0	0	13	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	1	0	1	0	5	1	0	0	2	0	0	3	0.971980453	6	1.021068185	2
