numberOfCharacters	numberOfCharactersNoSpaces	numberOfWords	numberOfShortWords	numberOfLongWords	mostFrequentWordLength	averageWordLength	numberOfSentences	numberOfShortSentences	numberOfLongSentences	mostFrequentSentenceLength	averageSentenceLength	numberOfDifferentWords	numberOfStopwords	gunningFogIndex	fleschReadingEase	fleschKincaidGradeLevel	daleChallReadabilityFormula	automatedReadabilityIndex	simpleMeasureOfGobbledygook	lix	wordVariationIndex	nominalRatio	typeTokenRatio	guiraudsIndex	yulesK	theDEstimate	hapaxLegomena	advancedGuiraudIndex	numberOfDifferentPosTags	sentenceStructureTreeHeight	correctVerbForm	pos_CC	pos_CD	pos_DT	pos_EX	pos_FW	pos_IN	pos_JJ	pos_JJR	pos_JJS	pos_LS	pos_MD	pos_NN	pos_NNS	pos_NNP	pos_NNPS	pos_PDT	pos_POS	pos_PRP	pos_PRP$	pos_RB	pos_RBR	pos_RBS	pos_RP	pos_SYM	pos_TO	pos_UH	pos_VB	pos_VBD	pos_VBG	pos_VBN	pos_VBP	pos_VBZ	pos_WDT	pos_WP	pos_WRB	numberOfSpellcheckingErrors	numberOfCapitalizationErrors	numberOfPunctuationErrors	scoreCosineSimilarityMax	cosineTopEssaySimilarityAverage	cosinePattern	cosineSumOfCorrelationValues	score
665	552	114	0.392	0.192	4	4.336	9	0	0	7	12.66666667	80	0.368	11.03157895	75.24149123	5.911403509	9.389591228	7	10.25414643	33.71929825	65.67493223	1.529411765	0.701754386	7.492686493	345.1676529	103.1991744	0.49122807	2.528781691	0.666666667	4.777777778	0.228070175	1	1	16	0	0	14	8	1	1	0	4	27	1	2	0	1	0	5	0	2	0	1	0	0	1	0	5	10	3	4	2	2	2	0	2	4	0	1	3	0.224370518	6	0.326984604	3
753	624	131	0.439189189	0.168918919	4	4.114864865	12	0.166666667	0	10	10.91666667	88	0.364864865	9.557506361	66.59427799	6.682767176	8.878806361	6	9.725611199	30.00063613	62.14412719	1.666666667	0.671755725	7.688595699	440.7596372	101.7319368	0.480916031	2.62111217	0.527777778	5.166666667	0.152671756	2	1	19	1	0	10	16	0	1	0	4	35	1	0	0	0	0	3	0	10	0	0	1	0	7	0	10	5	2	0	1	2	0	0	0	1	0	1	4	0.221468721	6	0.251553605	3
1397	1153	237	0.498141264	0.215613383	2	4.215613383	15	0.066666667	0.066666667	13	15.8	144	0.3866171	13.23983122	60.14989873	8.79478481	9.950011224	9	12.34062658	40.27257384	62.70407532	1.329113924	0.607594937	9.353805155	580.7152839	126.5365455	0.459915612	4.287160696	0.638888889	5.1875	0.210970464	9	1	29	1	0	16	25	0	1	0	4	59	0	1	0	0	1	7	0	21	0	0	0	0	12	0	13	13	5	12	3	4	2	0	1	6	0	2	3	0.171311272	6	0.22614816	3
1869	1558	319	0.458100559	0.201117318	3	4.270949721	18	0.111111111	0.055555556	21	17.72222222	183	0.377094972	13.48387321	56.24506357	9.816964472	9.366368617	10	12.26155622	40.29275514	62.64967846	1.9	0.573667712	10.24603295	511.6146951	138.1737737	0.401253918	3.919247577	0.694444444	4.666666667	0.163009404	6	5	41	3	0	36	39	1	0	0	7	83	2	4	0	1	0	9	1	18	0	0	3	0	13	0	16	11	5	9	6	5	2	0	3	11	0	9	4	0.334589495	6	0.446474752	4
1218	1006	217	0.474137931	0.189655172	3	4.262931034	8	0	0.375	50	27.125	120	0.435344828	17.11728111	56.10681164	12.17216014	8.765678802	14	12.81553259	47.4014977	51.50035093	1.890909091	0.552995392	8.1461308	842.0035672	79.3576892	0.410138249	2.579608087	0.583333333	6.454545455	0.198156682	7	2	34	0	0	21	20	0	0	0	5	52	1	3	0	1	0	4	0	8	0	0	1	0	16	0	19	9	7	4	0	4	2	0	2	4	0	5	2	0.262568396	6	0.341673917	4
1140	946	200	0.484162896	0.20361991	2	4.158371041	13	0.076923077	0.076923077	7	15.38461538	110	0.371040724	12.15384615	63.47361538	8.228	9.847126923	8	10.89119369	37.88461538	49.5581856	2.6	0.55	7.778174593	831.256675	74.28055556	0.375	3.323401872	0.638888889	6.384615385	0.17	3	0	28	2	1	23	10	1	2	0	3	73	1	1	0	0	1	5	1	5	0	0	0	0	8	0	12	4	8	3	0	7	2	0	0	8	0	7	1	0.227907509	6	0.302313887	3
752	618	137	0.529801325	0.185430464	3	4.026490066	5	0	0.4	26	27.4	84	0.437086093	16.79941606	53.66779562	12.58067153	9.375248029	13	14.26529262	47.8379562	51.90598168	2.92	0.613138686	7.176604325	779.6875	73.36840656	0.437956204	2.733944505	0.444444444	9.5	0.145985401	7	0	22	1	0	20	9	0	0	0	3	41	0	0	0	0	0	2	0	3	0	0	2	0	7	0	9	5	5	0	0	1	1	0	0	4	0	0	1	0.131678657	5.8	0.170907119	2
914	763	156	0.468571429	0.205714286	3	4.262857143	7	0	0.142857143	26	22.28571429	101	0.354285714	15.06813187	58.39961538	10.65014652	9.802768864	12	13.0238668	45.36263736	61.14894138	1.880952381	0.647435897	8.086471767	672.7430556	104.0311772	0.461538462	3.122498999	0.527777778	5.7	0.198717949	5	0	25	0	0	14	13	0	0	0	6	48	2	4	0	0	0	3	0	8	0	0	0	0	4	0	11	7	5	2	4	2	1	0	1	11	0	10	3	0.297971456	6	0.298524549	3
803	663	143	0.540880503	0.20754717	3	4.075471698	8	0.125	0.125	26	17.875	81	0.408805031	13.58356643	62.0876792	9.039991259	8.719044056	9	12.16174496	40.95192308	45.76878714	2.290322581	0.566433566	6.773560281	877.0450329	58.83143469	0.370629371	2.50872603	0.527777778	6.142857143	0.174825175	5	5	21	0	0	13	11	0	0	0	3	43	0	1	0	1	1	2	0	4	0	0	1	0	8	0	11	8	2	4	0	0	0	0	1	4	0	0	2	0.12162315	6	0.160977087	1
719	590	126	0.467153285	0.189781022	3	4.226277372	8	0	0	16	15.75	81	0.394160584	10.10952381	66.63446429	7.877896825	8.30254127	8	9.82788879	36.38492063	55.32064143	1.59375	0.642857143	7.216053532	841.5516108	79.26428571	0.452380952	2.049002855	0.416666667	6	0.126984127	2	0	23	0	0	12	16	0	0	0	5	27	2	2	0	0	0	2	0	14	0	0	3	0	3	0	7	4	5	0	0	0	0	0	0	2	0	3	3	0.105281495	6	0.205536285	3
498	412	88	0.4	0.178947368	4	4.273684211	3	0	0.333333333	38	29.33333333	68	0.452631579	15.82424242	51.1230303	13.41590909	9.038933333	15	14.06817629	48.65151515	79.96906612	1.863636364	0.772727273	7.248824356	400	124.7954545	0.625	2.132007164	0.444444444	8.333333333	0.159090909	1	0	13	0	0	14	13	0	0	0	2	20	1	0	0	0	0	3	0	4	0	0	0	0	2	0	4	2	2	2	0	4	0	0	0	3	0	1	3	0.140887906	6	0.21198753	3
535	448	92	0.495049505	0.207920792	3	4.376237624	4	0	0	24	23	56	0.445544554	17.46086957	53.83130435	11.46478261	8.896430435	13	13.42789981	45.82608696	43.40829826	2.578947368	0.608695652	5.838403594	1100.0356	47.81642512	0.423913043	1.876629727	0.5	7	0.184782609	2	1	13	1	0	7	8	0	0	0	2	28	0	0	0	1	1	0	0	2	0	0	0	0	9	0	8	2	1	4	2	0	1	0	0	1	0	1	2	0.335098954	6	0.394152772	2
692	579	116	0.469230769	0.238461538	2	4.353846154	9	0.111111111	0	15	12.88888889	76	0.376923077	13.08659004	58.10105364	8.357356322	9.176133716	8	11.4295279	39.61302682	55.78103017	2.5	0.655172414	7.056422851	628.8580247	80.9137931	0.474137931	2.414039396	0.444444444	4.8	0.163793103	1	3	18	0	0	12	12	0	0	0	3	35	0	1	0	0	0	2	0	3	0	0	0	0	7	0	9	5	2	3	0	0	1	0	0	3	1	2	2	0.325001553	6	0.346905177	3
1409	1166	255	0.496428571	0.178571429	3	4.089285714	11	0	0.181818182	17	23.18181818	135	0.432142857	15.07664884	65.19721925	9.924634581	9.244671123	11	11.74138905	42.78966132	51.00057031	1.885245902	0.529411765	8.45402793	1101.183432	83.38235294	0.360784314	2.880631739	0.694444444	4.944444444	0.168627451	6	4	39	0	0	23	21	3	0	0	9	66	0	5	0	2	2	7	1	9	0	0	1	0	14	0	24	5	4	3	5	2	2	0	3	6	0	7	2	0.276586082	6	0.323233365	4
970	793	181	0.475247525	0.133663366	4	3.826732673	12	0	0	21	15.08333333	95	0.386138614	10.01123389	72.80497468	6.851616022	8.920986924	6	10.68635297	30.00046041	44.47156016	1.418181818	0.524861878	7.061294389	695.8884688	58.55871772	0.281767956	2.229882439	0.611111111	6.333333333	0.198895028	0	4	32	2	0	17	15	1	0	0	4	40	0	4	0	0	0	3	1	15	0	0	1	0	7	0	11	7	7	3	3	5	2	0	1	7	0	4	2	0.218383713	6	0.252473453	2
1406	1174	237	0.439688716	0.217898833	3	4.46692607	13	0	0.076923077	18	18.23076923	126	0.381322957	14.38091529	54.11304771	10.24067511	9.87070396	11	13.14991987	41.85946121	50.01044711	2.617021277	0.53164557	8.184579511	982.6388889	77.54840917	0.333333333	3.247849012	0.638888889	5.1875	0.147679325	5	3	40	2	0	24	28	0	1	0	2	77	1	0	0	1	1	1	0	10	1	0	0	0	8	0	9	10	7	6	2	1	1	0	0	3	1	5	3	0.246120536	6	0.344429115	4
654	539	121	0.484615385	0.176923077	3	4.046153846	6	0.166666667	0	28	20.16666667	77	0.438461538	12.36418733	66.80715565	8.951033058	9.595609642	9	10.86419502	39.17493113	53.24766638	1.84375	0.636363636	7	592.9817977	72.38636364	0.41322314	2.545454545	0.555555556	5.571428571	0.157024793	2	2	19	0	0	17	11	0	0	0	1	27	1	2	0	0	0	3	0	10	0	0	0	0	5	0	4	5	6	1	1	2	2	0	1	7	0	2	3	0.2257123	6	0.321031954	3
957	791	174	0.489583333	0.161458333	4	4.036458333	10	0	0	20	17.4	107	0.390625	12.47724138	58.87055172	9.370712644	9.399884828	8	12.85755635	35.21609195	57.28043064	1.58	0.614942529	8.111649066	506.6568047	94.27895008	0.436781609	2.95658237	0.694444444	6.1	0.172413793	4	2	22	1	0	16	22	0	1	0	2	43	1	4	0	0	0	3	1	15	0	1	1	0	7	0	8	7	4	4	1	6	3	0	1	10	0	6	3	0.135464886	6	0.228071901	2
1240	1031	211	0.443478261	0.22173913	3	4.382608696	10	0	0.1	23	21.1	123	0.356521739	14.50635071	51.90286019	11.26174882	9.622112133	12	13.18742774	45.27061611	55.70660566	2.326086957	0.582938389	8.467669207	750.5027291	93.70072167	0.417061611	3.097927759	0.583333333	6.461538462	0.151658768	5	2	30	0	0	27	25	0	2	0	3	59	0	2	0	0	0	4	0	9	0	0	1	0	11	0	12	7	6	2	2	3	0	0	1	6	0	2	3	0.418003064	6	0.539289631	3
1147	950	203	0.448888889	0.182222222	4	4.128888889	11	0	0.090909091	16	18.45454545	119	0.355555556	12.70201523	59.32826691	9.568849082	9.841106538	9	12.24349002	38.65158979	55.47149931	1.867924528	0.586206897	8.352162635	524.0073869	93.42672414	0.384236453	3.228567069	0.611111111	4.882352941	0.167487685	2	1	28	0	0	25	24	1	1	0	5	55	0	2	0	1	0	6	0	13	0	0	2	0	7	0	10	6	5	5	6	2	0	0	2	6	0	6	4	0.449297731	6	0.511690358	3
883	725	161	0.457142857	0.16	3	4.057142857	8	0	0.125	30	20.125	93	0.422857143	12.02515528	69.22924301	8.602849379	9.244203106	9	10.9516	37.51630435	49.5461899	1.795454545	0.577639752	7.329426778	808.5612366	69.12563939	0.360248447	2.600764341	0.555555556	7.25	0.211180124	0	1	23	4	0	17	14	0	0	0	2	36	6	2	0	0	0	3	0	7	0	0	2	0	12	0	11	12	5	1	1	4	1	0	0	9	0	2	3	0.230591986	6	0.310318381	3
630	522	110	0.483050847	0.228813559	3	4.313559322	5	0	0.2	17	22	67	0.381355932	15.70909091	59.91227273	10.36818182	8.459881818	12	11.60247206	46.54545455	46.87543298	2.541666667	0.609090909	6.388199348	742.1875	55.99386892	0.4	1.716232661	0.527777778	7.2	0.181818182	2	4	14	0	0	13	8	0	1	0	1	33	1	0	0	0	0	1	1	2	0	0	0	0	8	0	6	6	2	4	0	2	1	0	0	1	0	0	2	0.365492714	6	0.40406289	3
998	830	172	0.462765957	0.212765957	3	4.313829787	6	0.166666667	0.333333333	17	28.66666667	101	0.420212766	18.21085271	45.91972868	13.97604651	9.097668992	15	13.81666965	51.92248062	52.30237727	2.358974359	0.587209302	7.701177802	720.5331112	78.52063544	0.406976744	2.36372784	0.472222222	7.833333333	0.156976744	2	1	23	0	0	27	21	0	1	0	2	42	2	0	0	0	0	4	0	8	0	0	0	0	12	0	9	7	7	2	0	2	0	0	0	3	0	1	4	0.282347548	6	0.352987368	4
1020	846	176	0.411764706	0.187165775	3	4.427807487	9	0	0.111111111	17	19.55555556	107	0.411764706	13.73131313	61.04747475	9.602575758	8.823103283	11	11.4295279	39.44191919	56.26539042	1.704545455	0.607954545	8.065428467	602.8106509	88.14900362	0.443181818	2.713602101	0.611111111	5.666666667	0.164772727	5	2	21	2	0	15	22	0	3	0	8	42	1	0	0	0	0	6	0	8	0	1	0	0	8	0	11	6	4	5	1	2	1	0	3	5	0	1	2	0.30553958	6	0.42905723	3
351	289	64	0.5	0.191176471	3	4.161764706	4	0	0	12	16	51	0.382352941	10.15	71.62625	7.24375	8.3776	8	10.1257567	36.3125	78.23693195	1.928571429	0.796875	6.375	495.6268222	106.2908654	0.671875	2	0.472222222	5.2	0.1875	2	1	11	0	0	6	8	0	1	0	1	16	0	0	0	0	0	0	0	2	0	0	1	0	2	0	3	2	3	0	0	4	1	0	1	2	2	2	1	0.195010986	6	0.295773667	2
585	484	102	0.445454545	0.2	2	4.318181818	7	0	0	9	14.57142857	60	0.436363636	13.27955182	63.48617647	8.024229692	8.229340896	8	11.49170426	36.14005602	42.58204455	2	0.588235294	5.940885258	796.6706302	46.21848739	0.352941176	1.485221314	0.555555556	7.285714286	0.196078431	0	1	13	2	0	14	6	1	0	0	2	26	0	2	0	0	0	1	0	5	1	0	0	0	8	0	9	4	3	1	1	2	1	0	0	3	0	1	2	0.310527319	6	0.29552484	2
1183	980	207	0.475336323	0.228699552	2	4.278026906	8	0	0.25	18	25.875	121	0.399103139	17.30652174	46.11100543	13.25583937	9.87811256	13	14.55459255	50.51268116	55.58777483	1.690909091	0.584541063	8.410081367	520.1256483	91.70157847	0.400966184	3.26672582	0.666666667	6.181818182	0.164251208	2	1	28	1	0	25	25	1	1	0	4	51	0	1	0	0	0	8	0	12	0	1	2	0	8	0	14	7	3	5	2	3	1	0	4	5	0	4	2	0.323309321	6	0.458564986	3
823	677	146	0.446540881	0.132075472	3	4.188679245	8	0	0	22	18.25	90	0.396226415	10.86164384	69.52357877	8.095993151	8.326973973	9	9.516144504	32.63356164	53.78960957	2.058823529	0.616438356	7.448452997	714.7575637	78.76100783	0.438356164	2.234535899	0.527777778	6.5	0.178082192	3	1	24	0	0	19	6	0	0	0	9	39	0	0	0	2	0	4	0	4	0	0	3	0	3	0	13	2	5	4	2	0	2	0	1	2	0	1	3	0.102655101	6	0.181140348	2
725	596	130	0.457746479	0.176056338	3	4.14084507	7	0	0	17	18.57142857	82	0.408450704	10.50549451	66.29115385	8.626703297	8.808796703	9	10.29040645	37.8021978	53.81225072	3.090909091	0.630769231	7.191875758	628.125	76.50705128	0.476923077	2.631174058	0.472222222	7	0.138461538	0	1	25	0	0	19	16	0	1	0	1	39	0	0	0	0	0	1	1	2	0	0	0	0	5	0	5	6	4	1	0	2	0	0	1	5	0	0	3	0.19400276	6	0.262180334	2
818	685	135	0.476510067	0.255033557	3	4.483221477	10	0.1	0	8	13.5	86	0.362416107	13.99259259	55.26583333	8.90462963	9.569433333	9	11.97924847	41.64814815	55.77720338	2.161290323	0.637037037	7.401701506	646.9363474	83.29584278	0.466666667	2.754121491	0.444444444	4.909090909	0.2	1	2	21	0	0	13	15	0	0	0	4	38	0	0	0	0	0	0	0	4	0	0	0	0	8	0	10	7	3	5	0	2	2	0	1	2	1	0	3	0.428844759	6	0.488347618	3
863	720	148	0.467065868	0.239520958	2	4.25748503	7	0	0.285714286	30	21.14285714	97	0.371257485	16.83552124	47.61418919	11.87057915	9.486199228	12	13.92517568	48.16988417	61.57026403	1.972972973	0.655405405	7.973350884	503.3081285	104.0873741	0.486486486	3.205780252	0.472222222	7.285714286	0.189189189	2	1	20	1	0	17	18	0	0	0	5	36	0	0	0	0	0	2	0	7	0	0	1	0	9	0	12	5	7	4	0	0	1	0	0	1	0	0	4	0.426967289	6	0.423997802	3
626	516	112	0.478991597	0.210084034	3	4.25210084	6	0	0.166666667	18	18.66666667	66	0.403361345	13.18095238	60.23297619	9.495357143	8.509866667	9	12.4579756	40.98809524	44.41728543	2.619047619	0.589285714	6.236413805	1015.625	50.30706522	0.428571429	1.889822365	0.583333333	6.5	0.142857143	1	0	20	1	0	14	11	0	1	0	3	31	1	0	0	0	1	1	0	3	1	0	0	0	6	0	8	2	3	0	1	2	1	0	1	2	0	0	2	0.334148694	6	0.567125194	2
576	441	115	0.520325203	0.089430894	4	3.552845528	3	0	0.666666667	55	38.33333333	69	0.528455285	17.42028986	70.08492754	13.00695652	8.009311594	16	8.841846275	47.89855072	46.40653752	1.515151515	0.6	6.434283177	713.9577594	55.35	0.391304348	1.398757212	0.472222222	10.5	0.173913043	4	0	20	0	0	14	5	1	0	0	3	24	2	0	0	0	0	10	0	3	0	0	0	0	5	0	9	4	0	5	2	0	1	0	3	1	0	1	2	0.108895336	6	0.15639829	1
557	457	101	0.474137931	0.137931034	5	3.879310345	5	0	0.2	16	20.2	71	0.422413793	11.24831683	69.90229703	8.52760396	9.953865545	9	10.35521597	36.04158416	62.71308927	1.352941176	0.702970297	7.06476405	411.6782189	96.49438944	0.534653465	2.885607852	0.555555556	3.5	0.198019802	1	0	15	1	0	10	9	0	0	0	4	27	2	1	0	0	0	7	0	6	0	1	0	0	5	0	8	3	0	1	4	4	1	0	1	10	1	0	1	0.186817878	6	0.222845107	3
1194	997	202	0.428571429	0.200892857	2	4.339285714	11	0	0.181818182	9	18.36363636	124	0.334821429	14.07812781	50.40680018	10.79063006	10.25362349	10	14.02287971	40.64086409	60.35807701	1.724137931	0.613861386	8.724609555	387.6844856	109.2988068	0.415841584	2.955109688	0.694444444	4.6875	0.178217822	3	2	22	1	0	31	22	2	1	0	4	52	1	1	0	0	0	9	1	10	0	1	0	0	6	0	9	9	7	2	8	1	0	0	1	8	0	6	4	0.352420659	6	0.48035412	3
518	419	100	0.52293578	0.137614679	2	3.76146789	5	0	0	20	20	61	0.47706422	10.8	74.863	7.786	8.1023	8	10.35521597	35	45.16807779	1.428571429	0.61	6.1	858.948578	51.99858974	0.42	1.4	0.5	5.8	0.19	2	0	19	0	0	11	9	0	1	0	2	21	0	0	0	0	0	5	1	3	0	0	0	0	4	0	5	5	2	2	0	5	1	0	2	1	0	0	3	0.13845898	6	0.175820739	2
787	653	138	0.503184713	0.210191083	3	4.101910828	7	0	0.142857143	16	19.71428571	86	0.414012739	14.55238095	64.82934783	9.114513458	9.191140166	10	12.28987398	43.62732919	53.76349546	1.465116279	0.623188406	7.320806165	733.1199512	80.90663322	0.405797101	2.383518286	0.555555556	5.2	0.217391304	4	0	21	1	0	14	14	0	1	0	2	28	4	1	0	1	0	7	0	6	0	0	1	0	8	0	11	6	7	1	5	0	0	0	0	8	1	4	2	0.266060794	6	0.324435714	2
779	651	132	0.461038961	0.207792208	4	4.123376623	12	0.333333333	0	2	11	77	0.350649351	10.76363636	68.12909091	6.489393939	10.16316061	6	9.928628109	35.24242424	46.63240104	2.814814815	0.583333333	6.701989754	829.4753086	62.88333333	0.333333333	3.046358979	0.555555556	5.846153846	0.151515152	3	0	18	2	0	17	12	0	0	0	1	43	1	5	0	0	0	2	0	5	0	0	1	0	3	0	4	6	6	1	0	3	1	0	2	8	0	0	3	0.28295203	6	0.383925801	3
891	734	164	0.518918919	0.145945946	3	3.897297297	5	0	0.4	59	32.8	99	0.378378378	16.53463415	52.31739024	14.11053659	9.692282439	16	13.96827395	49.26341463	54.03794136	3.615384615	0.603658537	7.730601213	842.8720083	85.04620075	0.445121951	2.654953952	0.444444444	6.333333333	0.115853659	3	0	28	0	0	31	16	0	0	0	1	52	0	1	0	0	0	3	0	4	0	0	1	0	6	0	7	6	3	1	2	0	0	0	0	5	0	4	2	0.224393246	6	0.300344392	3
1184	991	202	0.513274336	0.234513274	3	4.274336283	10	0	0	18	20.2	117	0.376106195	15.60475248	47.28645545	11.68205941	9.953865545	11	14.83674596	46.43762376	54.20948389	2.441860465	0.579207921	8.232091273	711.0969388	90.09068142	0.405940594	3.025469442	0.583333333	6.083333333	0.163366337	8	4	31	0	0	22	25	0	0	0	0	59	1	5	0	1	1	2	0	7	1	0	2	0	10	0	8	11	5	3	3	3	0	0	0	7	4	12	3	0.476672786	6	0.450910693	4
1322	1099	229	0.488188976	0.224409449	3	4.224409449	9	0	0.333333333	33	25.44444444	126	0.413385827	15.94196992	52.07701116	12.31673945	10.00098986	13	13.2054373	50.33527414	52.08937547	1.661538462	0.550218341	8.326314366	874.3055556	85.48149404	0.358078603	3.436256722	0.527777778	7.555555556	0.205240175	6	2	29	0	0	31	30	0	1	0	4	45	0	4	0	0	0	7	0	11	0	0	2	0	14	0	18	13	8	6	0	2	2	0	0	7	0	4	2	0.336452044	6	0.423275765	4
1349	1128	225	0.420634921	0.21031746	3	4.380952381	11	0.090909091	0.090909091	23	20.45454545	128	0.337301587	14.75959596	54.47363636	10.74282828	10.40562323	12	12.87279279	44.01010101	54.66776738	2.265306122	0.568888889	8.533333333	723.5958076	94.58804124	0.395555556	3.666666667	0.638888889	5.714285714	0.155555556	0	4	33	2	0	22	25	0	3	0	6	64	1	4	0	3	0	3	0	10	0	1	0	0	7	0	10	8	6	7	1	3	2	0	4	6	0	6	3	0.251844182	6	0.374129709	3
